------------------------------------------------------------
Client connecting to 169.254.18.165, UDP port 5001
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 169.254.21.222 port 33986 connected with 169.254.18.165 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3] 0.0000-0.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 0.5000-1.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 1.0000-1.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 1.5000-2.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 2.0000-2.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 2.5000-3.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 3.0000-3.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 3.5000-4.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 4.0000-4.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 4.5000-5.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 5.0000-5.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 5.5000-6.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 6.0000-6.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 6.5000-7.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 7.0000-7.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 7.5000-8.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 8.0000-8.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 8.5000-9.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 9.0000-9.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 9.5000-10.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 10.0000-10.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 10.5000-11.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 11.0000-11.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 11.5000-12.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 12.0000-12.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 12.5000-13.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 13.0000-13.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 13.5000-14.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 14.0000-14.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 14.5000-15.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 15.0000-15.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 15.5000-16.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 16.0000-16.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 16.5000-17.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 17.0000-17.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 17.5000-18.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 18.0000-18.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 18.5000-19.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 19.0000-19.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 19.5000-20.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 20.0000-20.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 20.5000-21.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 21.0000-21.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 21.5000-22.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 22.0000-22.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 22.5000-23.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 23.0000-23.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 23.5000-24.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 24.0000-24.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 24.5000-25.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 25.0000-25.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 25.5000-26.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 26.0000-26.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 26.5000-27.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 27.0000-27.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 27.5000-28.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 28.0000-28.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 28.5000-29.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 29.0000-29.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 29.5000-30.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 30.0000-30.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 30.5000-31.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 31.0000-31.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 31.5000-32.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 32.0000-32.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 32.5000-33.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 33.0000-33.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 33.5000-34.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 34.0000-34.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 34.5000-35.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 35.0000-35.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 35.5000-36.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 36.0000-36.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 36.5000-37.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 37.0000-37.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 37.5000-38.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 38.0000-38.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 38.5000-39.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 39.0000-39.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 39.5000-40.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 40.0000-40.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 40.5000-41.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 41.0000-41.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 41.5000-42.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 42.0000-42.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 42.5000-43.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 43.0000-43.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 43.5000-44.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 44.0000-44.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 44.5000-45.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 45.0000-45.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 45.5000-46.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 46.0000-46.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 46.5000-47.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 47.0000-47.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 47.5000-48.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 48.0000-48.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 48.5000-49.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 49.0000-49.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 49.5000-50.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 50.0000-50.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 50.5000-51.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 51.0000-51.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 51.5000-52.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 52.0000-52.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 52.5000-53.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 53.0000-53.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 53.5000-54.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 54.0000-54.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 54.5000-55.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 55.0000-55.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 55.5000-56.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 56.0000-56.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 56.5000-57.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 57.0000-57.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 57.5000-58.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 58.0000-58.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 58.5000-59.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 59.0000-59.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 59.5000-60.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 60.0000-60.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 60.5000-61.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 61.0000-61.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 61.5000-62.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 62.0000-62.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 62.5000-63.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 63.0000-63.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 63.5000-64.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 64.0000-64.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 64.5000-65.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 65.0000-65.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 65.5000-66.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 66.0000-66.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 66.5000-67.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 67.0000-67.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 67.5000-68.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 68.0000-68.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 68.5000-69.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 69.0000-69.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 69.5000-70.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 70.0000-70.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 70.5000-71.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 71.0000-71.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 71.5000-72.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 72.0000-72.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 72.5000-73.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 73.0000-73.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 73.5000-74.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 74.0000-74.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 74.5000-75.0000 sec   256 KBytes  4.19 Mbits/sec
