------------------------------------------------------------
Server listening on TCP port 5020 with pid 1892
Read buffer size:  128 KByte (Dist bin width=16.0 KByte)
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  4] local 169.254.18.165%eth1 port 5020 connected with 169.254.21.224 port 45754 (MSS=1448) (peer 2.0.14-alpha)
[ ID] Interval            Transfer    Bandwidth       Reads=Dist
[  4] 0.0000-0.5000 sec   128 KBytes  2.10 Mbits/sec  42=40:1:1:0:0:0:0:0
[  4] 0.5000-1.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 1.0000-1.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 1.5000-2.0000 sec   112 KBytes  1.83 Mbits/sec  57=57:0:0:0:0:0:0:0
[  4] 2.0000-2.5000 sec  76.4 KBytes  1.25 Mbits/sec  44=44:0:0:0:0:0:0:0
[  4] 2.5000-3.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 3.0000-3.5000 sec  1.41 KBytes  23.2 Kbits/sec  1=1:0:0:0:0:0:0:0
[  4] 3.5000-4.0000 sec  1.41 KBytes  23.2 Kbits/sec  1=1:0:0:0:0:0:0:0
[  4] 4.0000-4.5000 sec  2.83 KBytes  46.3 Kbits/sec  2=2:0:0:0:0:0:0:0
[  4] 4.5000-5.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 5.0000-5.5000 sec  2.83 KBytes  46.3 Kbits/sec  2=2:0:0:0:0:0:0:0
[  4] 5.5000-6.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 6.0000-6.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 6.5000-7.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 7.0000-7.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 7.5000-8.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 8.0000-8.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 8.5000-9.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 9.0000-9.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 9.5000-10.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 10.0000-10.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 10.5000-11.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 11.0000-11.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 11.5000-12.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 12.0000-12.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 12.5000-13.0000 sec  1.41 KBytes  23.2 Kbits/sec  1=1:0:0:0:0:0:0:0
[  4] 13.0000-13.5000 sec  2.83 KBytes  46.3 Kbits/sec  2=2:0:0:0:0:0:0:0
[  4] 13.5000-14.0000 sec  1.41 KBytes  23.2 Kbits/sec  1=1:0:0:0:0:0:0:0
[  4] 14.0000-14.5000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 14.5000-15.0000 sec  0.000 Bytes  0.000 bits/sec  0=0:0:0:0:0:0:0:0
[  4] 15.0000-15.5000 sec  2.83 KBytes  46.3 Kbits/sec  2=2:0:0:0:0:0:0:0
[  4] 15.5000-16.0000 sec  9.90 KBytes   162 Kbits/sec  6=6:0:0:0:0:0:0:0
[  4] 16.0000-16.5000 sec  11.3 KBytes   185 Kbits/sec  4=4:0:0:0:0:0:0:0
[  4] 16.5000-17.0000 sec  41.0 KBytes   672 Kbits/sec  23=23:0:0:0:0:0:0:0
[  4] 17.0000-17.0622 sec  2.83 KBytes   372 Kbits/sec  1=1:0:0:0:0:0:0:0
[  4] 0.0000-17.0622 sec   398 KBytes   191 Kbits/sec  189=187:1:1:0:0:0:0:0
