------------------------------------------------------------
Server listening on UDP port 5001 with pid 1400
Read buffer size: 1.44 KByte (Dist bin width= 183 Byte)
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 169.254.18.165%eth1 port 5001 connected with 169.254.21.222 port 46722 (peer 2.0.14-alpha)
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  inP NetPwr
[  3] 0.0000-0.5000 sec   121 KBytes  1.98 Mbits/sec   0.390 ms    0/   85 (0%) 50.408/32.336/66.881/10.354 ms  197 pps 14.1 KByte 4.90
[  3] 0.5000-1.0000 sec   119 KBytes  1.95 Mbits/sec   0.413 ms    0/   83 (0%) 84.178/66.881/99.627/ 9.461 ms  178 pps 21.5 KByte 2.90
[  3] 1.0000-1.5000 sec   119 KBytes  1.95 Mbits/sec   0.391 ms    0/   83 (0%) 117.126/99.627/131.991/ 9.452 ms  178 pps 30.0 KByte 2.08
[  3] 1.5000-2.0000 sec   121 KBytes  1.98 Mbits/sec   0.393 ms    0/   84 (0%) 150.271/131.991/164.997/ 9.571 ms  178 pps 38.5 KByte 1.64
[  3] 2.0000-2.5000 sec   119 KBytes  1.95 Mbits/sec   0.397 ms    0/   83 (0%) 183.446/164.997/197.620/ 9.459 ms  178 pps 47.0 KByte 1.33
[  3] 2.5000-3.0000 sec   119 KBytes  1.95 Mbits/sec   0.391 ms    0/   83 (0%) 216.412/197.620/230.120/ 9.464 ms  178 pps 55.4 KByte 1.13
[  3] 3.0000-3.5000 sec   121 KBytes  1.98 Mbits/sec   0.392 ms    0/   84 (0%) 249.543/230.120/263.079/ 9.574 ms  178 pps 63.9 KByte 0.99
[  3] 3.5000-4.0000 sec   119 KBytes  1.95 Mbits/sec   0.401 ms    0/   83 (0%) 282.739/263.079/295.791/ 9.466 ms  178 pps 72.4 KByte 0.86
[  3] 4.0000-4.5000 sec   119 KBytes  1.95 Mbits/sec   0.391 ms    0/   83 (0%) 315.700/295.791/328.207/ 9.456 ms  178 pps 80.8 KByte 0.77
[  3] 4.5000-5.0000 sec   121 KBytes  1.98 Mbits/sec   0.393 ms    0/   84 (0%) 348.809/328.207/361.188/ 9.564 ms  178 pps 89.3 KByte 0.71
[  3] 5.0000-5.5000 sec   119 KBytes  1.95 Mbits/sec   0.390 ms    0/   83 (0%) 382.022/361.188/393.717/ 9.459 ms  178 pps 97.8 KByte 0.64
[  3] 5.5000-6.0000 sec   119 KBytes  1.95 Mbits/sec   0.392 ms    0/   83 (0%) 414.973/393.717/426.319/ 9.457 ms  178 pps  106 KByte 0.59
[  3] 6.0000-6.5000 sec   121 KBytes  1.98 Mbits/sec   0.393 ms    0/   84 (0%) 448.070/426.319/459.292/ 9.573 ms  178 pps  115 KByte 0.55
[  3] 6.5000-7.0000 sec   119 KBytes  1.95 Mbits/sec   0.387 ms    0/   83 (0%) 481.340/459.292/491.790/ 9.441 ms  178 pps  123 KByte 0.51
[  3] 7.0000-7.5000 sec   119 KBytes  1.95 Mbits/sec   0.400 ms    0/   83 (0%) 514.270/491.790/524.558/ 9.464 ms  178 pps  132 KByte 0.47
[  3] 7.5000-8.0000 sec   121 KBytes  1.98 Mbits/sec   0.399 ms    0/   84 (0%) 547.352/524.558/557.486/ 9.570 ms  178 pps  140 KByte 0.45
[  3] 8.0000-8.5000 sec   119 KBytes  1.95 Mbits/sec   0.400 ms    0/   83 (0%) 580.592/557.486/589.995/ 9.449 ms  178 pps  149 KByte 0.42
[  3] 8.5000-9.0000 sec   119 KBytes  1.95 Mbits/sec   0.392 ms    0/   83 (0%) 613.548/589.995/622.526/ 9.456 ms  178 pps  157 KByte 0.40
[  3] 9.0000-9.5000 sec   121 KBytes  1.98 Mbits/sec   0.393 ms    0/   84 (0%) 646.614/622.526/655.493/ 9.568 ms  178 pps  166 KByte 0.38
[  3] 9.5000-10.0000 sec   119 KBytes  1.95 Mbits/sec   0.396 ms    0/   83 (0%) 679.869/655.493/688.109/ 9.459 ms  178 pps  174 KByte 0.36
[  3] 10.0000-10.5000 sec   119 KBytes  1.95 Mbits/sec   0.389 ms    0/   83 (0%) 712.825/688.109/720.572/ 9.469 ms  178 pps  182 KByte 0.34
[  3] 10.5000-11.0000 sec   121 KBytes  1.98 Mbits/sec   0.390 ms    0/   84 (0%) 745.890/720.572/753.568/ 9.580 ms  178 pps  191 KByte 0.33
[  3] 11.0000-11.5000 sec   119 KBytes  1.95 Mbits/sec   0.529 ms    0/   83 (0%) 779.147/753.568/786.130/ 9.459 ms  178 pps  199 KByte 0.31
[  3] 11.5000-12.0000 sec   119 KBytes  1.95 Mbits/sec   0.393 ms    0/   83 (0%) 812.115/786.130/818.722/ 9.442 ms  178 pps  208 KByte 0.30
[  3] 12.0000-12.5000 sec   121 KBytes  1.98 Mbits/sec   0.396 ms    0/   84 (0%) 845.180/818.722/851.690/ 9.578 ms  178 pps  216 KByte 0.29
[  3] 12.5000-13.0000 sec   119 KBytes  1.95 Mbits/sec   0.396 ms    0/   83 (0%) 878.438/851.690/884.310/ 9.454 ms  178 pps  225 KByte 0.28
[  3] 13.0000-13.5000 sec   119 KBytes  1.95 Mbits/sec   0.396 ms    0/   83 (0%) 911.421/884.310/916.841/ 9.450 ms  178 pps  233 KByte 0.27
[  3] 13.5000-14.0000 sec   121 KBytes  1.98 Mbits/sec   0.427 ms    0/   84 (0%) 944.464/916.841/949.787/ 9.601 ms  178 pps  242 KByte 0.26
[  3] 14.0000-14.5000 sec   119 KBytes  1.95 Mbits/sec   0.393 ms    0/   83 (0%) 977.725/949.787/982.336/ 9.456 ms  178 pps  250 KByte 0.25
[  3] 14.5000-15.0000 sec   119 KBytes  1.95 Mbits/sec   0.390 ms    0/   83 (0%) 1010.684/982.336/1014.904/ 9.452 ms  178 pps  259 KByte 0.24
[  3] 15.0000-15.5000 sec   121 KBytes  1.98 Mbits/sec   0.393 ms    0/   84 (0%) 1043.727/1014.904/1047.998/ 9.602 ms  178 pps  267 KByte 0.24
[  3] 15.5000-16.0000 sec   119 KBytes  1.95 Mbits/sec   0.439 ms    0/   83 (0%) 1077.143/1047.998/1081.013/ 9.470 ms  178 pps  276 KByte 0.23
[  3] 16.0000-16.5000 sec   119 KBytes  1.95 Mbits/sec   0.410 ms    0/   83 (0%) 1110.108/1080.924/1113.155/ 9.460 ms  178 pps  284 KByte 0.22
[  3] 16.5000-17.0000 sec   121 KBytes  1.98 Mbits/sec   0.402 ms    0/   84 (0%) 1143.092/1113.155/1146.190/ 9.591 ms  178 pps  293 KByte 0.22
[  3] 17.0000-17.5000 sec   119 KBytes  1.95 Mbits/sec   0.401 ms    0/   83 (0%) 1176.426/1146.190/1178.623/ 9.445 ms  178 pps  301 KByte 0.21
